BOWLING,Team,Match ,Match_Number,O,M,R,W,ECON,0s,4s,6s,WD,NB,BOWLING
Mohammed Shami,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,29,2,7.25,13,2,2,0,1,Mohammed Shami
Hardik Pandya,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,3,0,28,0,9.33,6,2,2,0,0,Hardik Pandya
Josh Little,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,41,1,10.25,10,4,3,0,0,Josh Little
Rashid Khan,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,26,2,6.5,10,2,1,0,0,Rashid Khan
Alzarri Joseph,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,4,0,33,2,8.25,8,0,3,0,0,Alzarri Joseph
Yash Dayal,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,1,0,14,0,14,2,0,2,0,0,Yash Dayal
Deepak Chahar,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,29,0,7.25,9,1,2,0,0,Deepak Chahar
Tushar Deshpande,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,3.2,0,51,1,15.3,5,4,4,1,1,Tushar Deshpande
Rajvardhan Hangargekar,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,36,3,9,10,4,1,3,1,Rajvardhan Hangargekar
Mitchell Santner,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,32,0,8,7,5,0,0,0,Mitchell Santner
Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,4,0,28,1,7,9,1,1,0,0,Ravindra Jadeja
Umesh Yadav,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,27,1,6.75,11,2,1,0,0,Umesh Yadav
Tim Southee,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,54,2,13.5,7,6,3,0,0,Tim Southee
Sunil Narine,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,40,1,10,8,3,2,1,0,Sunil Narine
Varun Chakravarthy,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,26,1,6.5,10,2,1,1,0,Varun Chakravarthy
Shardul Thakur,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,4,0,43,0,10.75,7,4,2,0,1,Shardul Thakur
Sam Curran,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,38,1,12.66,4,3,3,0,0,Sam Curran
Arshdeep Singh,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,19,3,6.33,10,2,1,0,0,Arshdeep Singh
Nathan Ellis,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,27,1,9,8,2,1,0,2,Nathan Ellis
Sikandar Raza,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,3,0,25,1,8.33,5,3,0,1,0,Sikandar Raza
Rishi Dhawan,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,1,0,15,0,15,2,2,1,0,0,Rishi Dhawan
Rahul Chahar,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,2,0,12,1,6,5,0,1,0,0,Rahul Chahar
Harpreet Brar,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,1,0,7,0,7,3,1,0,0,0,Harpreet Brar
Khaleel Ahmed,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,30,2,7.5,15,3,2,1,0,Khaleel Ahmed
Mukesh Kumar,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,34,0,8.5,5,0,2,1,0,Mukesh Kumar
Chetan Sakariya,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,53,2,13.25,8,1,6,3,0,Chetan Sakariya
Axar Patel,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,38,1,9.5,8,1,3,0,0,Axar Patel
Kuldeep Yadav,Delhi Capitals,Lucknow Super Giants vs Delhi Capitals,3,4,0,35,1,8.75,7,0,3,0,0,Kuldeep Yadav
Kyle Mayers,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,1,0,7,0,7,3,1,0,1,0,Kyle Mayers
Jaydev Unadkat,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,3,0,39,0,13,3,5,0,2,0,Jaydev Unadkat
Krishnappa Gowtham,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,23,0,5.75,9,2,0,1,0,Krishnappa Gowtham
Avesh Khan,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,29,2,7.25,12,3,1,0,0,Avesh Khan
Mark Wood,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,14,5,3.5,17,1,0,1,1,Mark Wood
Ravi Bishnoi,Lucknow Super Giants ,Lucknow Super Giants vs Delhi Capitals,3,4,0,31,2,7.75,8,3,1,0,0,Ravi Bishnoi
Bhuvneshwar Kumar,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,36,0,12,6,4,2,1,0,Bhuvneshwar Kumar
Fazalhaq Farooqi,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,41,2,10.25,11,7,0,0,0,Fazalhaq Farooqi
Washington Sundar,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,32,0,10.66,5,1,3,0,0,Washington Sundar
T Natarajan,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,23,2,7.66,7,4,0,0,0,T Natarajan
Adil Rashid,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,33,0,8.25,6,1,2,0,0,Adil Rashid
Umran Malik,Sunrisers Hyderabad,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,32,1,10.66,4,4,1,1,0,Umran Malik
Trent Boult,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,1,21,2,5.25,15,2,1,0,0,Trent Boult
KM Asif,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,15,0,5,9,1,0,1,0,KM Asif
Jason Holder,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,3,0,16,1,5.33,10,1,1,0,0,Jason Holder
Ravichandran Ashwin,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,27,1,6.75,10,1,1,2,0,Ravichandran Ashwin
Yuzvendra Chahal,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,4,0,17,4,4.25,11,0,0,0,0,Yuzvendra Chahal
Navdeep Saini,Rajasthan Royals,Rajasthan Royals vs Sunrisers Hyderabad,4,2,0,34,0,17,3,3,2,0,3,Navdeep Saini
Mohammed Siraj,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,4,0,21,1,5.25,16,2,0,6,0,Mohammed Siraj
Reece Topley,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,2,0,14,1,7,7,3,0,0,0,Reece Topley
Akash Deep,Royal Challengers Bangalore, Mumbai Indians vs Royal Challengers Bangalore,5,3,0,29,1,9.66,7,2,2,0,0,Akash Deep
